tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
275,1/1/2018 18:37,1/1/2018 18:41,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,31750,Subscriber,1989,1
302,1/1/2018 18:39,1/1/2018 18:44,3280,Astor Place,40.7192822,-74.07126188,3280,Astor Place,40.7192822,-74.07126188,31765,Subscriber,1960,1
365,1/1/2018 18:52,1/1/2018 18:58,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.04772663,31710,Subscriber,1986,2
88,1/1/2018 19:10,1/1/2018 19:11,3185,City Hall,40.7177325,-74.043845,3186,Grove St PATH,40.71958612,-74.04311746,29674,Subscriber,1957,1
328,1/1/2018 19:23,1/1/2018 19:29,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,33372,Subscriber,1993,2
322,1/1/2018 19:24,1/1/2018 19:29,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,31833,Subscriber,1990,1
289,1/1/2018 19:32,1/1/2018 19:36,3187,Warren St,40.7211236,-74.03805095,3185,City Hall,40.7177325,-74.043845,31949,Subscriber,1972,1
157,1/1/2018 20:03,1/1/2018 20:06,3209,Brunswick St,40.7241765,-74.0506564,3272,Jersey & 3rd,40.72333159,-74.04595256,31711,Subscriber,1994,1
634,1/1/2018 20:10,1/1/2018 20:21,3213,Van Vorst Park,40.71848892,-74.04772663,3190,Garfield Ave Station,40.71046702,-74.0700388,29616,Subscriber,1972,1
167,1/1/2018 20:12,1/1/2018 20:14,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,29582,Subscriber,1981,1
190,1/1/2018 20:16,1/1/2018 20:19,3272,Jersey & 3rd,40.72333159,-74.04595256,3209,Brunswick St,40.7241765,-74.0506564,26262,Subscriber,1994,1
231,1/1/2018 20:26,1/1/2018 20:30,3186,Grove St PATH,40.71958612,-74.04311746,3481,York St,40.71649,-74.04105,29622,Subscriber,1988,1
439,1/1/2018 20:39,1/1/2018 20:46,3213,Van Vorst Park,40.71848892,-74.04772663,3192,Liberty Light Rail,40.7112423,-74.0557013,31710,Subscriber,1986,2
399,1/1/2018 20:50,1/1/2018 20:56,3213,Van Vorst Park,40.71848892,-74.04772663,3267,Morris Canal,40.71241882,-74.03852552,31825,Subscriber,1960,1
208,1/1/2018 20:54,1/1/2018 20:57,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,31711,Subscriber,1985,1
200,1/1/2018 20:58,1/1/2018 21:02,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.7287448,-74.0321082,32493,Subscriber,1989,1
99,1/1/2018 21:19,1/1/2018 21:20,3187,Warren St,40.7211236,-74.03805095,3275,Columbus Drive,40.7183552,-74.03891444,31735,Subscriber,1983,2
762,1/1/2018 21:22,1/1/2018 21:35,3190,Garfield Ave Station,40.71046702,-74.0700388,3275,Columbus Drive,40.7183552,-74.03891444,29616,Subscriber,1972,1
248,1/1/2018 21:34,1/1/2018 21:38,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,31711,Subscriber,1967,1
222,1/1/2018 21:41,1/1/2018 21:45,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,29587,Subscriber,1964,1
613,1/1/2018 22:05,1/1/2018 22:15,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,31859,Subscriber,1982,1
250,1/1/2018 22:46,1/1/2018 22:50,3276,Marin Light Rail,40.71458404,-74.04281706,3214,Essex Light Rail,40.7127742,-74.0364857,31754,Subscriber,1958,1
241,1/1/2018 22:57,1/1/2018 23:01,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,29674,Subscriber,1986,1
89,1/2/2018 0:14,1/2/2018 0:16,3186,Grove St PATH,40.71958612,-74.04311746,3185,City Hall,40.7177325,-74.043845,29644,Subscriber,1957,1
385,1/2/2018 0:14,1/2/2018 0:21,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,31709,Subscriber,1979,1
3168,1/2/2018 0:42,1/2/2018 1:35,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,31777,Subscriber,1975,1
611,1/2/2018 2:01,1/2/2018 2:11,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,31920,Subscriber,1952,1
225,1/2/2018 2:13,1/2/2018 2:17,3211,Newark Ave,40.72152515,-74.04630454,3209,Brunswick St,40.7241765,-74.0506564,31816,Subscriber,1970,1
170,1/2/2018 4:46,1/2/2018 4:49,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31825,Subscriber,1980,1
369,1/2/2018 5:02,1/2/2018 5:09,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,29611,Subscriber,1962,1
259,1/2/2018 5:09,1/2/2018 5:13,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31697,Subscriber,1994,1
373,1/2/2018 5:22,1/2/2018 5:29,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,26289,Subscriber,1985,1
684,1/2/2018 5:32,1/2/2018 5:43,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,31878,Subscriber,1967,1
171,1/2/2018 6:16,1/2/2018 6:19,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,31836,Subscriber,1974,1
105,1/2/2018 6:24,1/2/2018 6:26,3270,Jersey & 6th St,40.72528911,-74.04557168,3211,Newark Ave,40.72152515,-74.04630454,31722,Subscriber,1971,1
222,1/2/2018 6:26,1/2/2018 6:30,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,26214,Subscriber,1977,2
186,1/2/2018 6:27,1/2/2018 6:30,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,31711,Subscriber,1980,1
235,1/2/2018 6:30,1/2/2018 6:34,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,31759,Subscriber,1975,1
